                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2203,                 3.6903,                 2.6495,                0.00109,                0.00757,                0.00055,                  8e-05,                 4.2124,                 3.6627,                 2.8817,                0.00012,                0.00012,                0.00012
                      2,                 3.6745,                 3.5771,                 2.2848,                0.00271,                0.02271,                0.00146,                0.00031,                 3.7554,                 3.6626,                 2.7317,             0.00025743,             0.00025743,             0.00025743
                      3,                 3.2404,                 3.2962,                 1.8757,                0.00473,                0.03179,                0.00256,                0.00099,                 4.2571,                  3.776,                 4.7004,             0.00039208,             0.00039208,             0.00039208
                      4,                 3.0263,                 3.1422,                 1.7282,                0.00169,                0.00757,                0.00087,                0.00022,                 4.9515,                 4.2896,                 7.0072,             0.00052396,             0.00052396,             0.00052396
                      5,                 2.9417,                 3.0795,                 1.6106,                0.00793,                0.03558,                0.00411,                 0.0012,                 3.9469,                 4.9102,                 4.4232,             0.00065307,             0.00065307,             0.00065307
                      6,                  2.836,                 3.1058,                 1.6179,                0.01164,                0.06132,                0.00652,                 0.0027,                 3.6336,                 5.9916,                 4.6615,             0.00077941,             0.00077941,             0.00077941
                      7,                 2.7205,                 3.0599,                 1.5476,                0.00759,                0.06586,                0.00432,                0.00157,                 3.3425,                 7.5849,                 4.2774,             0.00090298,             0.00090298,             0.00090298
                      8,                 2.9025,                 2.9731,                 1.5053,                0.00646,                0.04239,                0.00384,                0.00078,                 3.7267,                  6.508,                 4.0196,              0.0010238,              0.0010238,              0.0010238
                      9,                 2.8391,                 3.0915,                 1.5334,                 0.0259,                0.19909,                  0.018,                0.00541,                 4.0377,                 4.6228,                 3.6996,              0.0011418,              0.0011418,              0.0011418
                     10,                 2.6768,                 3.0377,                 1.4697,                0.02974,                0.30583,                0.02681,                0.00756,                 3.7818,                 4.5016,                 3.1284,               0.001257,               0.001257,               0.001257
                     11,                 2.7276,                 3.0428,                 1.5156,                 0.0295,                0.10295,                0.01668,                0.00398,                 3.7241,                 4.0879,                 3.2552,              0.0013695,              0.0013695,              0.0013695
                     12,                 2.6619,                 2.9293,                 1.4182,                0.04837,                0.20061,                0.03713,                0.00779,                 3.1197,                 4.0335,                 2.4158,              0.0014792,              0.0014792,              0.0014792
                     13,                 2.6946,                 2.9015,                  1.466,                0.02313,                0.25587,                   0.02,                0.00557,                 3.0556,                 3.8499,                 2.0484,              0.0015862,              0.0015862,              0.0015862
                     14,                 2.7409,                 2.8115,                 1.4307,                0.00491,                0.09084,                0.00272,                0.00078,                  4.386,                 3.2673,                 3.8863,              0.0016903,              0.0016903,              0.0016903
                     15,                 2.6046,                 2.8105,                 1.4215,                0.01739,                0.26419,                0.01151,                0.00346,                 3.4885,                 3.3846,                 2.4975,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.6782,                 2.7412,                 1.3831,                0.01216,                0.19909,                0.00756,                0.00226,                 3.4907,                 3.5995,                 2.4918,               0.001703,               0.001703,               0.001703
                     17,                 2.5657,                 2.8137,                 1.3731,                0.01436,                0.18168,                0.01017,                0.00251,                 3.6363,                 3.6098,                  3.174,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.5508,                 2.8097,                 1.4214,                0.02285,                0.40878,                0.01767,                0.00408,                 3.6738,                 3.2757,                 3.5183,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.7404,                 2.7136,                 1.3842,                0.01835,                0.29977,                0.01356,                  0.003,                 4.1079,                  3.455,                 4.5974,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.4547,                 2.6648,                   1.32,                0.02001,                0.23164,                0.01385,                0.00314,                 4.0676,                 5.0127,                 2.9844,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.5841,                  2.609,                 1.3184,                0.02113,                0.31037,                0.01466,                0.00334,                 3.9864,                 9.4691,                 2.3384,               0.001604,               0.001604,               0.001604
                     22,                 2.6064,                 2.7266,                 1.3402,                0.02775,                0.53823,                0.02445,                0.00727,                 2.8405,                 3.3805,                 1.6175,              0.0015842,              0.0015842,              0.0015842
                     23,                  2.773,                 2.6048,                  1.382,                 0.0205,                0.42468,                0.01909,                0.00593,                 3.0598,                 2.9434,                 1.8321,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.5946,                 2.6265,                 1.3733,                0.02731,                0.57002,                0.03068,                0.00915,                 2.4944,                  2.695,                  1.461,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.5199,                 2.6771,                 1.3374,                0.02986,                0.62377,                 0.0349,                0.01024,                  2.489,                  2.638,                 1.4517,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.5029,                 2.6416,                 1.3533,                0.02993,                0.62528,                0.03569,                0.01041,                 2.5538,                 2.6358,                 1.4932,               0.001505,               0.001505,               0.001505
                     27,                  2.633,                 2.6224,                 1.3717,                0.02617,                0.54656,                0.02488,                0.00743,                 2.9826,                 2.6027,                 1.7254,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.5465,                 2.6011,                 1.3282,                0.00895,                0.18698,                0.00532,                0.00135,                 3.9808,                 2.6558,                 2.4792,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.5392,                 2.6218,                 1.3417,                0.00493,                0.10295,                0.00301,                 0.0008,                 4.3446,                 2.6399,                 2.8947,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.5493,                  2.669,                 1.3529,                0.00522,                0.10901,                0.00296,                0.00074,                 4.4009,                 2.5836,                 2.9601,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.5556,                 2.6284,                 1.3226,                0.00688,                0.14383,                0.00394,                0.00073,                  4.322,                  2.611,                  2.915,               0.001406,               0.001406,               0.001406
                     32,                 2.5295,                 2.6552,                  1.338,                0.01446,                0.30204,                0.00944,                 0.0024,                 3.5909,                 2.7104,                  2.129,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.4479,                 2.6722,                 1.3355,                 0.0171,                0.35731,                 0.0117,                0.00335,                 3.3765,                 2.7504,                 1.9828,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.4671,                 2.6134,                  1.325,                0.02478,                0.51779,                0.01976,                0.00725,                 2.6646,                 2.7261,                 1.6192,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.5048,                 2.6148,                 1.3386,                0.02667,                0.55715,                0.02415,                0.00902,                 2.4486,                 2.6342,                 1.4669,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.4263,                 2.5789,                 1.3015,                0.03145,                0.65708,                0.02931,                0.00956,                 2.7945,                 2.6438,                 1.6121,               0.001307,               0.001307,               0.001307
                     37,                 2.4702,                 2.5929,                 1.3202,                0.03138,                0.65556,                0.02968,                0.01048,                 2.6893,                 2.6482,                 1.5767,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.4343,                 2.5533,                 1.3243,                0.03018,                0.63058,                0.02688,                 0.0104,                 2.5649,                 2.6467,                 1.5261,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.4297,                 2.6063,                 1.3242,                0.03102,                0.64799,                0.02845,                 0.0102,                 2.7755,                 2.6175,                 1.6346,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.5124,                 2.5896,                 1.3411,                0.02862,                0.59803,                0.03564,                0.01179,                  2.581,                 2.5566,                 1.5475,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.4192,                 2.5387,                 1.2983,                0.02772,                0.57911,                0.02911,                0.01093,                 2.5375,                 2.5769,                 1.5207,               0.001208,               0.001208,               0.001208
                     42,                 2.5264,                 2.5549,                 1.3089,                0.02616,                0.54656,                0.02336,                 0.0081,                 2.6827,                 2.5896,                 1.5884,              0.0011882,              0.0011882,              0.0011882
                     43,                  2.445,                  2.585,                 1.3165,                0.01406,                0.29372,                0.00918,                0.00201,                 3.8133,                  2.644,                 2.2678,              0.0011684,              0.0011684,              0.0011684
                     44,                  2.456,                 2.5662,                 1.2933,                0.02152,                0.44966,                0.01567,                0.00572,                 2.8977,                 2.6255,                 1.6786,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.4673,                 2.6205,                 1.3225,                0.02659,                0.55564,                 0.0256,                   0.01,                 2.3528,                 2.5971,                 1.4019,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.4347,                 2.5724,                 1.3166,                0.02873,                 0.6003,                0.03497,                 0.0141,                 2.1857,                  2.565,                 1.3385,               0.001109,               0.001109,               0.001109
                     47,                 2.4245,                 2.6031,                 1.3509,                0.02536,                 0.5299,                0.02959,                 0.0087,                 2.8842,                 2.6018,                 1.6162,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.4512,                 2.5878,                 1.3344,                0.02283,                0.47691,                0.02399,                0.00579,                 3.2809,                 2.5879,                 1.7977,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.4062,                 2.5467,                 1.2917,                0.02091,                0.43679,                0.01761,                0.00445,                 3.3328,                  2.566,                 1.8062,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.3594,                 2.6151,                 1.2983,                0.01554,                0.32475,                0.01035,                0.00289,                 3.3538,                 2.5807,                 1.8042,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.5257,                 2.6082,                 1.3216,                0.01815,                0.37926,                0.01277,                 0.0037,                 3.3463,                 2.5657,                 1.8347,                0.00101,                0.00101,                0.00101
                     52,                 2.4816,                 2.6169,                 1.3742,                0.02399,                0.50114,                0.02393,                0.00798,                 2.8201,                  2.538,                  1.597,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.4644,                  2.587,                 1.3457,                0.02536,                 0.5299,                0.02621,                0.00811,                 2.9192,                 2.5311,                 1.6654,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.4553,                  2.609,                 1.3723,                0.02043,                0.42695,                0.01764,                 0.0044,                 3.5608,                 2.5475,                 2.0901,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.4493,                  2.589,                 1.3165,                0.00743,                0.15519,                0.00558,                0.00105,                 4.2962,                 2.6201,                 2.6571,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.4295,                 2.6242,                 1.3482,                0.01141,                0.23846,                0.01093,                0.00177,                 3.9967,                 2.6211,                 2.2818,               0.000911,               0.000911,               0.000911
                     57,                 2.4065,                 2.5699,                 1.2964,                0.02091,                0.43679,                0.01659,                0.00351,                 3.5716,                 2.6012,                 1.9575,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.3847,                 2.5451,                 1.3181,                0.02493,                0.52082,                0.01949,                0.00653,                 3.0026,                 2.5569,                 1.6518,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.3942,                 2.5438,                 1.3227,                0.02703,                0.56472,                0.02456,                0.00977,                 2.4813,                 2.5477,                 1.4198,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.3954,                 2.5215,                 1.3111,                0.02612,                 0.5458,                0.02467,                 0.0086,                 2.8275,                 2.5471,                 1.5629,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.3404,                 2.5153,                 1.2981,                 0.0262,                0.54731,                0.02756,                0.00967,                 2.7322,                 2.5472,                 1.5231,               0.000812,               0.000812,               0.000812
                     62,                 2.3511,                 2.6001,                   1.31,                0.02746,                0.57381,                0.03292,                0.01313,                 2.2821,                 2.5323,                   1.36,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.3853,                 2.5782,                 1.3291,                0.02761,                0.57684,                0.03415,                0.01438,                 2.0912,                 2.5063,                 1.3169,              0.0007724,              0.0007724,              0.0007724
                     64,                  2.438,                 2.5962,                 1.3468,                0.02801,                0.58516,                0.03462,                0.01449,                 2.1101,                 2.5286,                 1.3373,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.3693,                 2.5454,                 1.2854,                 0.0275,                0.57456,                0.03292,                0.01374,                 2.1412,                 2.5563,                 1.3341,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.4295,                 2.5236,                  1.307,                0.02638,                 0.5511,                 0.0292,                0.01076,                 2.4746,                 2.6079,                 1.4224,               0.000713,               0.000713,               0.000713
                     67,                 2.3728,                 2.5731,                 1.3054,                0.02609,                0.54504,                0.02706,                0.00937,                 2.6402,                 2.6203,                 1.4724,              0.0006932,              0.0006932,              0.0006932
                     68,                  2.372,                 2.5588,                 1.2916,                0.02663,                 0.5564,                0.02766,                0.01077,                 2.4238,                  2.616,                 1.3954,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.3591,                 2.6368,                 1.3176,                0.02707,                0.56548,                0.02934,                0.01226,                 2.2738,                 2.6218,                 1.3455,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.3066,                 2.5313,                 1.3055,                0.02775,                0.57986,                0.03351,                0.01422,                 2.1713,                 2.6056,                 1.3211,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.3569,                 2.5979,                 1.3042,                0.02783,                0.58138,                0.03377,                0.01394,                 2.1861,                 2.5895,                 1.3212,               0.000614,               0.000614,               0.000614
                     72,                 2.4077,                 2.5743,                 1.2915,                0.02779,                0.58062,                0.03233,                0.01324,                 2.2219,                 2.5672,                 1.3269,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.3514,                 2.6206,                  1.337,                0.02764,                0.57759,                0.03162,                0.01288,                 2.2521,                 2.5585,                 1.3346,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.3975,                 2.5535,                 1.2801,                0.02841,                0.59349,                0.03143,                0.01244,                 2.3091,                 2.5416,                 1.3483,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.3293,                  2.588,                 1.3032,                0.02815,                0.58819,                0.03152,                 0.0122,                 2.4168,                 2.5396,                 1.3897,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.4215,                 2.5573,                 1.3258,                0.02768,                0.57835,                0.03303,                0.01249,                 2.4981,                 2.5334,                 1.4267,               0.000515,               0.000515,               0.000515
                     77,                 2.3082,                 2.5498,                 1.3006,                 0.0275,                0.57456,                0.03389,                0.01272,                 2.5862,                 2.5345,                 1.4647,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.3775,                 2.5474,                 1.3128,                0.02707,                0.56548,                0.03311,                0.01216,                 2.6671,                 2.5369,                 1.5041,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.3501,                  2.525,                 1.2944,                0.02732,                0.57078,                0.03454,                 0.0134,                    2.6,                 2.5379,                  1.478,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.3577,                 2.5586,                  1.299,                0.02717,                0.56775,                0.03398,                0.01309,                 2.5978,                 2.5339,                 1.4761,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.2996,                 2.5638,                 1.2982,                0.02728,                0.57002,                0.03391,                0.01307,                 2.5875,                 2.5334,                  1.472,               0.000416,               0.000416,               0.000416
                     82,                 2.4297,                 2.4943,                 1.2975,                0.02728,                0.57002,                0.03392,                0.01297,                 2.5766,                 2.5373,                 1.4683,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.3013,                 2.5404,                 1.3117,                0.02707,                0.56548,                0.03362,                0.01228,                 2.7176,                 2.5394,                 1.5195,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.2864,                 2.6335,                 1.3057,                 0.0271,                0.56624,                0.03126,                0.01103,                 2.7258,                 2.5323,                 1.5213,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.2871,                 2.5625,                 1.3012,                0.02714,                0.56699,                0.03169,                0.01123,                 2.7149,                 2.5298,                 1.5164,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.3506,                 2.4942,                 1.2879,                0.02674,                0.55867,                0.03122,                0.01056,                 2.7587,                 2.5341,                 1.5372,               0.000317,               0.000317,               0.000317
                     87,                 2.3313,                 2.5597,                 1.2752,                0.02663,                 0.5564,                0.03135,                0.01041,                 2.8046,                  2.538,                 1.5594,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.3865,                 2.5334,                 1.2946,                0.02685,                0.56094,                0.03157,                0.01057,                 2.8639,                 2.5375,                 1.5828,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.3395,                 2.5665,                 1.2748,                0.02688,                 0.5617,                0.03366,                0.01171,                 2.8731,                 2.5401,                 1.5866,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.2943,                 2.5826,                 1.2802,                0.02743,                0.57305,                0.03351,                0.01194,                 2.8215,                 2.5411,                 1.5621,              0.0002378,              0.0002378,              0.0002378
                     91,                 2.2259,                 2.8195,                 1.3057,                0.02779,                0.58062,                0.03487,                0.01323,                 2.6685,                 2.5338,                 1.4925,               0.000218,               0.000218,               0.000218
                     92,                 2.3505,                 2.7204,                 1.3233,                0.02822,                 0.5897,                0.03222,                0.01229,                 2.4803,                 2.5202,                 1.4154,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.3539,                 2.7218,                 1.3488,                0.02812,                0.58743,                0.03409,                0.01295,                 2.3911,                 2.5156,                 1.3814,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.3402,                 2.7031,                 1.3134,                0.02764,                0.57759,                0.03419,                0.01344,                 2.3149,                  2.508,                 1.3497,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.2309,                 2.7676,                 1.2966,                0.02743,                0.57305,                0.03277,                0.01297,                 2.3041,                 2.5062,                 1.3394,              0.0001388,              0.0001388,              0.0001388
                     96,                  2.259,                 2.6934,                 1.3101,                0.02717,                0.56775,                0.02931,                0.01206,                 2.3116,                 2.5044,                 1.3383,               0.000119,               0.000119,               0.000119
                     97,                 2.2099,                 2.6871,                 1.3152,                0.02681,                0.56018,                0.02853,                0.01168,                 2.3251,                 2.5059,                 1.3407,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 2.2879,                 2.7135,                 1.3235,                0.02645,                0.55261,                0.02759,                0.01142,                  2.345,                 2.5103,                 1.3438,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 2.2174,                 2.6965,                 1.3147,                0.02583,                0.53974,                0.02653,                  0.011,                 2.3416,                 2.5143,                 1.3393,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 2.2593,                 2.6967,                 1.3259,                0.02547,                0.53217,                0.02606,                0.01086,                 2.3319,                 2.5186,                 1.3338,               3.98e-05,               3.98e-05,               3.98e-05
